variavel,n,n_categorias,chi2,p_value,cramers_v,valido,motivo,p_value_fdr
_churn_label,15000,2,14992.292658771526,0.0,0.9997430556155091,True,,0.0
gender,14262,3,8.150207330155077,0.016990453269016867,0.02390529526959358,True,,0.07645703971057591
country,15000,5,6.093698916276914,0.19225920501106022,0.020155559888488855,True,,0.4325832112748855
coupon_code,8867,3,3.547811582867572,0.1696690012393823,0.020002851896778688,True,,0.4325832112748855
city,15000,7,3.994598413774367,0.6774074409401778,0.016318901951978607,True,,0.7110789032529186
payment_method,15000,5,2.8418122604492866,0.5846369479712381,0.013764234475502774,True,,0.7110789032529186
acquisition_channel,15000,5,2.1342718243893004,0.7110789032529186,0.011928318753815226,True,,0.7110789032529186
device_type,15000,3,1.7090922146351006,0.42547626782542114,0.010674243812826901,True,,0.6992691076680367
subscription_type,15000,2,0.5310174765403289,0.4661794051120245,0.0059498878226978864,True,,0.6992691076680367
